customer_id,customer_name,age,gender,region,employment_status,annual_income,credit_score,debt_to_income_ratio,account_open_date
CUST-00097,Customer_97,55,M,East,Employed,43327.91,672,0.542,2018-12-27
CUST-00098,Customer_98,52,M,West,Retired,20000.0,664,0.448,2018-02-08
CUST-00099,Customer_99,62,F,South,Employed,32241.82,671,0.478,2017-10-09
CUST-00100,Customer_100,54,F,East,Employed,21705.09,593,0.424,2018-06-18
CUST-00101,Customer_101,28,M,South,Employed,59897.17,699,0.208,2021-11-02
CUST-00102,Customer_102,40,F,East,Employed,65203.61,850,0.181,2022-07-13
CUST-00103,Customer_103,60,F,East,Self-Employed,20000.0,573,0.143,2020-09-05
CUST-00104,Customer_104,40,F,North,Employed,80039.11,759,0.096,2021-06-16
CUST-00105,Customer_105,57,M,Central,Retired,40641.36,619,0.345,2021-06-07
CUST-00106,Customer_106,37,M,North,Self-Employed,52782.3,758,0.212,2020-12-25
CUST-00107,Customer_107,55,F,West,Self-Employed,41711.06,600,0.051,2020-01-20
CUST-00108,Customer_108,27,M,West,Retired,38216.86,803,0.165,2021-11-08
CUST-00109,Customer_109,63,F,North,Self-Employed,22824.55,635,0.461,2022-11-29
CUST-00110,Customer_110,67,M,East,Employed,86659.46,628,0.255,2017-08-07
CUST-00111,Customer_111,46,F,Central,Employed,24433.83,734,0.51,2018-03-02
CUST-00112,Customer_112,61,M,East,Employed,142026.94,594,0.637,2019-03-08
CUST-00113,Customer_113,26,F,East,Employed,49443.84,702,0.099,2021-04-06
CUST-00114,Customer_114,58,M,South,Employed,36824.63,736,0.075,2017-08-25
CUST-00115,Customer_115,44,F,South,Self-Employed,83630.35,548,0.39,2021-03-26
CUST-00116,Customer_116,37,F,Central,Unemployed,68417.66,701,0.332,2021-03-20
CUST-00117,Customer_117,63,F,South,Employed,78814.77,732,0.117,2019-09-02
CUST-00118,Customer_118,26,F,West,Employed,52868.61,780,0.282,2019-02-18
CUST-00119,Customer_119,54,M,Central,Employed,46650.58,741,0.238,2017-11-13
CUST-00120,Customer_120,43,M,North,Employed,33038.17,779,0.251,2019-03-14
CUST-00121,Customer_121,53,F,North,Unemployed,45079.16,693,0.361,2018-09-16
CUST-00122,Customer_122,57,M,East,Employed,54025.99,645,0.498,2021-10-21
CUST-00123,Customer_123,45,M,North,Employed,97664.84,692,0.346,2020-04-03
CUST-00124,Customer_124,33,M,West,Employed,212011.11,652,0.155,2019-05-23
CUST-00125,Customer_125,36,M,West,Employed,51278.07,563,0.4,2021-07-21
CUST-00126,Customer_126,27,M,North,Retired,102886.05,665,0.25,2018-02-04
CUST-00127,Customer_127,43,M,West,Employed,78499.55,711,0.692,2018-05-31
CUST-00128,Customer_128,34,F,North,Self-Employed,42168.85,792,0.586,2017-10-11
CUST-00129,Customer_129,35,M,West,Employed,84805.23,703,0.166,2020-04-25
CUST-00130,Customer_130,43,F,West,Self-Employed,42743.24,650,0.325,2018-11-20
CUST-00131,Customer_131,39,F,Central,Employed,38597.26,560,0.29,2022-01-11
CUST-00132,Customer_132,41,F,West,Employed,45040.34,705,0.217,2021-07-14
CUST-00133,Customer_133,36,F,Central,Employed,106328.48,746,0.543,2021-07-31
CUST-00134,Customer_134,45,F,West,Employed,94020.23,730,0.351,2021-04-26
CUST-00135,Customer_135,39,M,East,Employed,64905.82,793,0.172,2017-11-30
CUST-00136,Customer_136,46,M,South,Employed,66509.79,689,0.1,2020-10-09
CUST-00137,Customer_137,38,M,South,Employed,67543.88,707,0.41,2020-08-20
CUST-00138,Customer_138,24,F,Central,Employed,46838.53,702,0.599,2022-07-28
CUST-00139,Customer_139,56,M,West,Employed,25906.45,634,0.387,2018-08-09
CUST-00140,Customer_140,18,M,Central,Employed,44118.76,850,0.328,2022-11-20
CUST-00141,Customer_141,29,F,East,Unemployed,88397.24,706,0.255,2018-02-19
CUST-00142,Customer_142,28,F,Central,Self-Employed,165322.0,588,0.238,2019-11-10
CUST-00143,Customer_143,46,M,West,Employed,62368.36,664,0.495,2020-06-23
CUST-00144,Customer_144,45,F,North,Employed,52757.91,748,0.355,2019-03-04
CUST-00145,Customer_145,57,F,South,Unemployed,119021.68,729,0.176,2017-10-06
CUST-00146,Customer_146,25,M,Central,Employed,50319.41,618,0.242,2017-11-01
CUST-00147,Customer_147,34,F,Central,Self-Employed,51416.05,682,0.366,2022-10-08
CUST-00148,Customer_148,54,M,West,Employed,32810.51,718,0.507,2020-05-01
CUST-00149,Customer_149,41,M,North,Employed,224384.07,682,0.239,2021-01-31
CUST-00150,Customer_150,31,M,West,Employed,61127.26,660,0.42,2018-08-27
CUST-00151,Customer_151,38,F,East,Unemployed,103144.43,741,0.287,2018-04-04
CUST-00152,Customer_152,63,F,East,Unemployed,72901.11,720,0.313,2020-04-13
CUST-00153,Customer_153,35,M,Central,Employed,63767.14,770,0.188,2017-08-01
CUST-00154,Customer_154,37,F,South,Self-Employed,67003.64,592,0.243,2018-07-17
CUST-00155,Customer_155,67,M,North,Retired,35836.87,752,0.13,2021-10-20
CUST-00156,Customer_156,55,M,Central,Employed,56336.43,768,0.599,2022-03-19
CUST-00157,Customer_157,24,F,North,Self-Employed,25361.97,850,0.172,2021-09-12
CUST-00158,Customer_158,22,F,East,Unemployed,43694.49,757,0.22,2021-12-24
CUST-00159,Customer_159,58,M,South,Retired,74674.51,623,0.397,2022-04-25
CUST-00160,Customer_160,40,M,East,Self-Employed,107400.58,483,0.392,2017-10-30
CUST-00161,Customer_161,28,F,West,Retired,93340.67,572,0.563,2021-10-22
CUST-00162,Customer_162,23,M,Central,Self-Employed,51543.54,496,0.556,2019-05-28
CUST-00163,Customer_163,36,M,North,Self-Employed,37755.52,731,0.319,2021-03-25
CUST-00164,Customer_164,46,M,Central,Unemployed,122309.03,657,0.381,2020-12-21
CUST-00165,Customer_165,41,F,East,Employed,55714.53,591,0.25,2019-04-16
CUST-00166,Customer_166,43,F,North,Unemployed,76794.95,672,0.28,2018-04-23
CUST-00167,Customer_167,40,F,North,Employed,35733.46,742,0.434,2020-11-21
CUST-00168,Customer_168,48,F,South,Employed,36154.7,682,0.565,2018-10-22
CUST-00169,Customer_169,54,F,Central,Unemployed,66746.78,725,0.13,2019-11-26
CUST-00170,Customer_170,32,F,West,Employed,70484.32,775,0.166,2018-10-27
CUST-00171,Customer_171,47,F,East,Unemployed,23703.26,600,0.406,2018-04-06
CUST-00172,Customer_172,57,M,East,Retired,51856.21,695,0.268,2021-07-21
CUST-00173,Customer_173,24,F,Central,Self-Employed,36796.58,824,0.128,2020-10-17
CUST-00174,Customer_174,44,F,North,Employed,40738.8,783,0.427,2021-02-05
CUST-00175,Customer_175,38,M,West,Employed,46637.75,683,0.295,2018-06-13
CUST-00176,Customer_176,69,F,East,Employed,89217.57,746,0.325,2019-07-31
CUST-00177,Customer_177,45,F,Central,Employed,53965.86,734,0.422,2017-08-09
CUST-00178,Customer_178,53,M,North,Employed,42633.87,512,0.497,2020-08-22
CUST-00179,Customer_179,53,F,Central,Unemployed,55611.9,670,0.147,2019-01-18
CUST-00180,Customer_180,43,F,West,Employed,35757.83,810,0.294,2022-10-28
CUST-00181,Customer_181,36,M,East,Employed,116236.75,719,0.241,2019-01-16
CUST-00182,Customer_182,55,M,East,Self-Employed,50741.67,660,0.514,2020-11-07
CUST-00183,Customer_183,52,F,Central,Employed,162879.38,610,0.444,2020-07-14
CUST-00184,Customer_184,48,F,East,Self-Employed,39966.6,653,0.379,2021-05-27
CUST-00185,Customer_185,40,F,East,Employed,25711.11,709,0.476,2018-11-16
CUST-00186,Customer_186,32,M,East,Employed,150653.15,635,0.254,2019-12-01
CUST-00187,Customer_187,35,M,South,Employed,34265.14,626,0.203,2020-03-16
CUST-00188,Customer_188,42,F,Central,Retired,68089.77,544,0.286,2019-12-24
CUST-00189,Customer_189,56,F,North,Unemployed,30782.37,835,0.368,2021-04-05
CUST-00190,Customer_190,33,M,East,Employed,80524.42,602,0.521,2022-11-04
CUST-00191,Customer_191,33,M,East,Employed,118166.66,783,0.47,2022-08-13
CUST-00192,Customer_192,25,F,South,Self-Employed,116681.55,697,0.58,2018-09-13
CUST-00193,Customer_193,43,F,North,Retired,55057.95,748,0.59,2019-09-14
CUST-00194,Customer_194,31,F,West,Employed,21809.2,730,0.397,2021-01-04
CUST-00195,Customer_195,41,M,North,Employed,94956.1,692,0.252,2018-02-02
CUST-00196,Customer_196,49,F,North,Unemployed,54381.11,616,0.506,2020-09-03
CUST-00197,Customer_197,55,F,North,Self-Employed,77736.8,682,0.515,2019-01-27
CUST-00198,Customer_198,48,M,South,Employed,33329.14,657,0.245,2019-10-07
CUST-00199,Customer_199,42,F,North,Retired,80124.02,678,0.789,2022-04-04
CUST-00200,Customer_200,45,F,Central,Self-Employed,30781.46,738,0.403,2019-06-15
CUST-00201,Customer_201,39,M,Central,Employed,135930.55,698,0.325,2017-10-29
CUST-00202,Customer_202,37,F,East,Unemployed,42728.8,657,0.246,2020-07-07
CUST-00203,Customer_203,47,F,Central,Self-Employed,115249.6,770,0.187,2019-07-03
CUST-00204,Customer_204,39,M,South,Self-Employed,28232.15,664,0.329,2021-06-09
CUST-00205,Customer_205,35,M,South,Employed,20000.0,635,0.497,2019-10-29
CUST-00206,Customer_206,41,M,South,Employed,115625.79,670,0.421,2020-05-24
CUST-00207,Customer_207,39,F,East,Employed,153497.52,561,0.094,2021-04-21
CUST-00208,Customer_208,44,F,West,Employed,41440.34,778,0.124,2021-08-11
CUST-00209,Customer_209,67,F,Central,Self-Employed,42909.85,751,0.436,2017-09-07
CUST-00210,Customer_210,44,M,West,Employed,77109.72,624,0.574,2021-08-29
CUST-00211,Customer_211,37,M,East,Unemployed,66275.41,563,0.14,2022-07-09
CUST-00212,Customer_212,55,M,South,Unemployed,114936.75,749,0.554,2019-08-02
CUST-00213,Customer_213,38,F,West,Employed,52158.47,804,0.468,2019-01-22
CUST-00214,Customer_214,42,F,West,Retired,42026.89,768,0.299,2020-02-12
CUST-00215,Customer_215,48,F,West,Employed,107999.19,652,0.248,2022-09-12
CUST-00216,Customer_216,26,F,East,Self-Employed,185519.25,585,0.312,2022-10-11
CUST-00217,Customer_217,52,M,South,Retired,43447.45,669,0.25,2018-03-26
CUST-00218,Customer_218,40,M,East,Self-Employed,86213.73,790,0.506,2018-08-23
CUST-00219,Customer_219,46,M,West,Employed,41846.09,637,0.351,2020-06-10
CUST-00220,Customer_220,50,F,South,Retired,68351.19,850,0.633,2020-06-23
CUST-00221,Customer_221,57,F,North,Employed,86703.52,672,0.109,2020-08-18
CUST-00222,Customer_222,30,F,East,Self-Employed,53371.77,608,0.19,2018-02-10
CUST-00223,Customer_223,27,M,East,Employed,76460.65,792,0.389,2020-02-22
CUST-00224,Customer_224,28,F,West,Unemployed,89081.75,651,0.602,2019-11-02
CUST-00225,Customer_225,24,M,West,Employed,22732.6,547,0.476,2021-07-04
CUST-00226,Customer_226,31,F,North,Retired,43899.75,701,0.337,2020-08-27
CUST-00227,Customer_227,54,M,Central,Employed,82941.42,755,0.162,2022-08-13
CUST-00228,Customer_228,34,M,Central,Employed,62857.39,817,0.172,2018-09-05
CUST-00229,Customer_229,41,F,West,Unemployed,55996.19,821,0.389,2021-10-12
CUST-00230,Customer_230,48,F,Central,Employed,117191.96,737,0.391,2021-04-22
CUST-00231,Customer_231,64,F,West,Employed,139914.1,641,0.199,2019-05-22
CUST-00232,Customer_232,51,M,South,Employed,71520.7,671,0.437,2022-11-04
CUST-00233,Customer_233,48,F,North,Employed,44668.08,579,0.018,2018-03-15
CUST-00234,Customer_234,37,M,West,Retired,149296.95,643,0.195,2019-04-16
CUST-00235,Customer_235,51,M,West,Retired,117572.83,675,0.256,2021-04-14
CUST-00236,Customer_236,39,F,West,Unemployed,98960.05,612,0.558,2020-04-09
CUST-00237,Customer_237,18,M,West,Self-Employed,97365.28,751,0.254,2020-10-08
CUST-00238,Customer_238,43,M,Central,Employed,25351.67,637,0.592,2017-12-28
CUST-00239,Customer_239,47,M,North,Employed,58711.87,539,0.535,2018-06-29
CUST-00240,Customer_240,35,F,East,Retired,66857.12,788,0.171,2020-01-28
CUST-00241,Customer_241,44,F,North,Employed,48929.45,610,0.486,2021-03-31
CUST-00242,Customer_242,41,F,South,Employed,76123.16,766,0.072,2020-03-16
CUST-00243,Customer_243,42,F,East,Self-Employed,40118.72,668,0.587,2019-11-16
CUST-00244,Customer_244,49,F,West,Retired,45912.43,599,0.205,2018-01-17
CUST-00245,Customer_245,38,M,South,Self-Employed,25342.68,764,0.418,2021-08-11
CUST-00246,Customer_246,41,F,North,Employed,47358.58,788,0.515,2020-04-08
CUST-00247,Customer_247,64,F,West,Retired,108448.04,644,0.651,2018-06-24
CUST-00248,Customer_248,43,M,West,Retired,42026.16,777,0.308,2022-03-19
CUST-00249,Customer_249,30,F,North,Retired,75582.46,850,0.156,2020-06-14
CUST-00250,Customer_250,44,M,Central,Retired,57308.1,725,0.144,2022-11-01
CUST-00251,Customer_251,56,M,West,Retired,248764.02,737,0.461,2022-01-20
CUST-00252,Customer_252,49,M,West,Unemployed,65686.82,803,0.116,2021-06-08
CUST-00253,Customer_253,18,F,Central,Self-Employed,42860.16,801,0.264,2019-04-12
CUST-00254,Customer_254,31,M,East,Unemployed,52500.99,651,0.358,2018-02-07
CUST-00255,Customer_255,56,F,East,Self-Employed,138236.85,774,0.251,2017-12-11
CUST-00256,Customer_256,43,F,Central,Employed,31304.84,791,0.233,2022-07-15
CUST-00257,Customer_257,49,M,East,Retired,46110.82,763,0.311,2018-09-25
CUST-00258,Customer_258,43,M,West,Retired,79431.42,701,0.319,2018-08-28
CUST-00259,Customer_259,46,M,West,Employed,52433.88,745,0.772,2021-03-29
CUST-00260,Customer_260,18,M,North,Employed,20000.0,761,0.247,2022-08-10
CUST-00261,Customer_261,50,F,East,Employed,47121.4,731,0.208,2022-02-07
CUST-00262,Customer_262,35,M,Central,Employed,73277.44,850,0.319,2019-02-05
CUST-00263,Customer_263,51,M,South,Employed,24612.98,590,0.143,2019-07-03
CUST-00264,Customer_264,52,F,Central,Self-Employed,56531.48,669,0.229,2020-02-17
CUST-00265,Customer_265,30,M,South,Employed,68261.62,772,0.325,2021-06-30
CUST-00266,Customer_266,74,F,East,Self-Employed,41783.57,520,0.266,2017-11-18
CUST-00267,Customer_267,61,F,East,Self-Employed,123402.04,832,0.546,2022-01-13
CUST-00268,Customer_268,42,M,West,Retired,197603.64,669,0.283,2019-08-17
CUST-00269,Customer_269,34,F,West,Self-Employed,66638.26,618,0.151,2020-05-11
CUST-00270,Customer_270,18,F,South,Retired,26170.91,753,0.513,2018-02-19
CUST-00271,Customer_271,38,F,North,Employed,39589.29,713,0.465,2019-09-18
CUST-00272,Customer_272,39,F,Central,Employed,67323.06,617,0.355,2018-12-31
CUST-00273,Customer_273,64,F,North,Retired,57909.49,621,0.084,2019-03-25
CUST-00274,Customer_274,39,F,East,Employed,25093.02,765,0.235,2018-01-26
CUST-00275,Customer_275,61,M,Central,Self-Employed,98052.82,660,0.269,2018-04-02
CUST-00276,Customer_276,38,F,South,Self-Employed,55704.08,691,0.353,2020-12-11
CUST-00277,Customer_277,28,M,South,Self-Employed,130094.03,676,0.3,2019-02-13
CUST-00278,Customer_278,51,M,North,Retired,42751.49,717,0.152,2019-04-19
CUST-00279,Customer_279,40,M,East,Unemployed,21268.51,635,0.593,2022-09-25
CUST-00280,Customer_280,50,F,South,Employed,102048.29,723,0.123,2021-04-07
CUST-00281,Customer_281,54,F,West,Employed,41405.08,810,0.512,2022-03-07
CUST-00282,Customer_282,33,F,Central,Employed,122686.44,535,0.35,2021-05-23
CUST-00283,Customer_283,28,M,East,Retired,53198.92,657,0.425,2017-08-17
CUST-00284,Customer_284,40,F,East,Self-Employed,43949.99,666,0.141,2021-01-08
CUST-00285,Customer_285,27,M,West,Retired,43223.72,682,0.363,2022-02-17
CUST-00286,Customer_286,28,M,West,Retired,80858.53,685,0.263,2018-05-30
CUST-00287,Customer_287,38,F,North,Unemployed,144243.19,735,0.283,2022-11-04
CUST-00288,Customer_288,44,F,Central,Employed,114144.28,718,0.261,2020-11-08
CUST-00289,Customer_289,27,F,Central,Employed,64771.35,840,0.637,2019-05-05
CUST-00290,Customer_290,56,F,North,Self-Employed,38821.09,629,0.341,2020-04-11
CUST-00291,Customer_291,18,M,Central,Retired,90341.36,588,0.375,2019-10-10
CUST-00292,Customer_292,70,F,Central,Employed,109702.54,850,0.123,2022-07-26
CUST-00293,Customer_293,73,F,East,Self-Employed,26196.11,707,0.427,2022-04-08
CUST-00294,Customer_294,45,M,North,Retired,84277.02,651,0.376,2021-03-19
CUST-00295,Customer_295,20,F,North,Employed,119857.26,603,0.205,2017-12-11
CUST-00296,Customer_296,18,M,West,Employed,107026.45,705,0.282,2019-02-28
CUST-00297,Customer_297,48,F,Central,Self-Employed,62897.98,667,0.203,2022-01-20
CUST-00298,Customer_298,39,F,North,Unemployed,82988.41,420,0.392,2019-06-21
CUST-00299,Customer_299,55,F,East,Employed,100824.79,615,0.271,2020-11-04
CUST-00300,Customer_300,35,M,West,Employed,101135.73,731,0.368,2021-08-06
CUST-00301,Customer_301,51,F,North,Retired,90658.98,792,0.514,2020-11-10
CUST-00302,Customer_302,44,F,North,Employed,54737.98,617,0.232,2021-11-09
CUST-00303,Customer_303,19,M,West,Employed,67326.66,685,0.215,2021-09-24
CUST-00304,Customer_304,42,M,North,Unemployed,24731.72,616,0.295,2021-07-22
CUST-00305,Customer_305,51,M,Central,Employed,53819.74,661,0.068,2018-04-08
CUST-00306,Customer_306,42,M,Central,Employed,126546.14,567,0.323,2018-01-16
CUST-00307,Customer_307,36,M,East,Unemployed,95211.4,735,0.234,2018-07-01
CUST-00308,Customer_308,33,M,East,Unemployed,97680.18,519,0.37,2022-02-09
CUST-00309,Customer_309,43,M,Central,Employed,42429.34,686,0.584,2021-12-10
CUST-00310,Customer_310,31,M,North,Employed,111198.62,660,0.246,2020-11-29
CUST-00311,Customer_311,52,M,Central,Employed,54842.62,770,0.222,2021-12-11
CUST-00312,Customer_312,41,F,North,Employed,178069.73,826,0.095,2020-07-23
CUST-00313,Customer_313,56,M,North,Employed,33507.92,780,0.378,2018-07-23
CUST-00314,Customer_314,46,F,Central,Self-Employed,55896.85,430,0.38,2020-05-21
CUST-00315,Customer_315,27,M,Central,Employed,118103.54,656,0.22,2018-07-12
CUST-00316,Customer_316,38,F,West,Self-Employed,73190.36,772,0.498,2022-09-30
CUST-00317,Customer_317,31,M,West,Unemployed,108157.82,561,0.625,2020-07-12
CUST-00318,Customer_318,31,M,West,Self-Employed,27532.03,528,0.359,2020-06-07
CUST-00319,Customer_319,30,M,North,Employed,91898.39,468,0.304,2022-02-02
CUST-00320,Customer_320,66,M,South,Employed,67438.7,779,0.182,2019-05-16
CUST-00321,Customer_321,42,F,West,Retired,52536.72,702,0.55,2019-12-12
CUST-00322,Customer_322,53,F,West,Employed,28472.81,745,0.625,2020-07-04
CUST-00323,Customer_323,32,M,North,Unemployed,39786.23,613,0.561,2019-04-09
CUST-00324,Customer_324,48,M,West,Employed,61598.61,666,0.256,2021-08-22
CUST-00325,Customer_325,38,F,East,Unemployed,74332.09,812,0.407,2020-09-07
CUST-00326,Customer_326,27,F,North,Employed,95483.54,742,0.205,2021-03-02
CUST-00327,Customer_327,41,F,East,Retired,32892.7,670,0.269,2019-01-26
CUST-00328,Customer_328,35,F,North,Employed,67747.59,760,0.508,2022-06-11
CUST-00329,Customer_329,60,M,West,Employed,53615.2,574,0.344,2018-10-11
CUST-00330,Customer_330,42,F,South,Self-Employed,71862.81,646,0.098,2019-08-19
