loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,monthly_payment,remaining_balance,open_date,status,credit_score,annual_income,debt_to_income_ratio
LOAN-0021,CUST-01005,Personal,44737.44,11.79,24,2101.56,0.0,2022-02-21,Closed,586,58523.9,0.498
LOAN-0022,CUST-00267,Personal,56895.5,17.2,24,2818.51,0.0,2022-05-04,Closed,832,123402.04,0.546
LOAN-0023,CUST-00381,Mortgage,78953.34,13.07,48,2120.86,4934.58,2021-03-19,Active,647,36124.35,0.264
LOAN-0024,CUST-00212,Auto,77593.08,9.06,24,3546.96,0.0,2021-12-20,Closed,749,114936.75,0.554
LOAN-0025,CUST-00595,Personal,62255.63,18.07,36,2252.88,13834.58,2022-08-29,Active,762,21520.34,0.219
LOAN-0026,CUST-00775,Student,11459.27,14.21,48,314.35,7448.53,2022-04-30,Defaulted,560,93831.92,0.284
LOAN-0027,CUST-00290,Mortgage,116686.98,8.05,24,5280.1,0.0,2021-04-02,Closed,629,38821.09,0.341
LOAN-0028,CUST-00636,Auto,32707.48,17.86,48,958.39,12946.71,2022-07-10,Active,761,75851.76,0.334
LOAN-0029,CUST-00337,Auto,28069.16,10.2,360,250.49,25184.27,2021-11-04,Active,686,89493.41,0.169
LOAN-0030,CUST-01287,Mortgage,30158.26,15.61,120,497.89,20105.51,2021-08-02,Active,689,56666.26,0.631
LOAN-0031,CUST-01146,Student,6621.48,17.1,48,191.41,2207.16,2022-04-10,Active,788,85008.82,0.07
LOAN-0032,CUST-01458,Business,68901.18,14.33,24,3318.9,0.0,2022-06-30,Closed,724,20000.0,0.103
LOAN-0033,CUST-01137,Mortgage,17937.4,8.97,36,570.15,2491.31,2022-05-10,Active,661,93406.3,0.216
LOAN-0034,CUST-00506,Auto,83183.74,8.33,48,2043.67,20795.94,2021-12-02,Active,493,62518.47,0.505
LOAN-0035,CUST-00396,Student,48364.97,17.0,360,689.53,31437.23,2022-01-23,Defaulted,720,33931.93,0.59
LOAN-0036,CUST-01111,Student,22925.54,14.29,36,786.77,0.0,2021-08-06,Closed,716,118644.34,0.093
LOAN-0037,CUST-00512,Mortgage,44083.03,13.62,24,2108.65,0.0,2022-11-08,Closed,560,177175.88,0.257
LOAN-0038,CUST-00872,Student,13346.04,15.87,24,652.63,0.0,2021-04-13,Closed,761,45014.2,0.273
LOAN-0039,CUST-00875,Business,94802.37,16.32,60,2321.56,50561.26,2022-08-03,Active,574,87893.9,0.162
LOAN-0040,CUST-00935,Business,147167.9,7.31,12,12755.0,0.0,2021-08-28,Closed,679,175273.79,0.141
LOAN-0041,CUST-01099,Mortgage,44766.52,12.27,60,1001.93,23875.48,2022-08-28,Active,747,42034.63,0.227
LOAN-0042,CUST-00777,Student,86349.55,5.82,12,7424.66,0.0,2021-10-24,Closed,724,63183.91,0.384
LOAN-0043,CUST-00893,Mortgage,26328.04,15.09,48,733.93,17113.23,2021-05-02,Defaulted,604,107267.3,0.615
LOAN-0044,CUST-00243,Student,14072.16,3.71,12,1196.38,0.0,2022-06-13,Closed,668,40118.72,0.587
LOAN-0045,CUST-00406,Business,59589.98,13.52,24,2847.59,0.0,2021-11-05,Closed,783,74068.43,0.48
LOAN-0046,CUST-01456,Business,17084.98,6.4,36,522.86,2372.91,2022-05-22,Active,787,119227.71,0.382
LOAN-0047,CUST-00099,Student,29146.89,17.88,60,738.24,18945.48,2022-04-02,Defaulted,671,32241.82,0.478
LOAN-0048,CUST-01423,Mortgage,25617.11,9.86,60,542.52,16651.12,2021-04-17,Defaulted,684,20000.0,0.279
LOAN-0049,CUST-00242,Auto,30176.17,3.59,12,2563.85,0.0,2022-06-01,Closed,766,76123.16,0.072
LOAN-0050,CUST-01172,Business,37115.49,8.87,36,1178.02,0.0,2021-07-01,Closed,699,73493.81,0.505
LOAN-0051,CUST-00224,Auto,18873.82,13.74,120,290.1,13998.08,2022-05-22,Active,651,89081.75,0.602
LOAN-0052,CUST-00916,Business,55927.13,3.56,24,2417.69,0.0,2022-08-03,Closed,820,72234.19,0.239
LOAN-0053,CUST-01022,Auto,16616.38,15.3,12,1502.12,0.0,2021-03-09,Closed,550,25275.9,0.254
LOAN-0054,CUST-00065,Student,95346.96,7.34,24,4283.64,0.0,2022-06-08,Closed,850,62139.38,0.679
LOAN-0055,CUST-00002,Personal,11931.02,16.45,12,1085.05,0.0,2021-08-02,Closed,733,46248.72,0.294
LOAN-0056,CUST-00193,Business,57751.56,7.65,60,1161.34,20213.05,2021-09-14,Active,748,55057.95,0.59
LOAN-0057,CUST-01462,Business,65534.51,9.22,36,2090.7,42597.43,2022-04-03,Defaulted,558,57669.78,0.191
LOAN-0058,CUST-00783,Student,39474.42,17.52,48,1149.68,17270.06,2022-09-02,Active,756,60404.2,0.581
LOAN-0059,CUST-01431,Mortgage,25653.22,4.44,48,584.29,5878.86,2021-11-25,Late,543,34781.16,0.146
LOAN-0060,CUST-00496,Business,19604.02,9.92,60,415.76,8168.34,2022-01-24,Active,715,120853.09,0.235
LOAN-0061,CUST-00661,Student,27796.14,12.11,120,400.56,21542.01,2022-09-02,Active,717,97618.78,0.276
LOAN-0062,CUST-00441,Business,47627.44,10.98,12,4208.95,0.0,2022-02-15,Closed,569,32906.46,0.39
LOAN-0063,CUST-00869,Personal,9905.56,17.89,120,177.78,6438.61,2022-02-25,Defaulted,737,51296.66,0.669
LOAN-0064,CUST-01092,Mortgage,11861.6,16.9,24,585.89,0.0,2022-10-16,Closed,675,76694.52,0.736
LOAN-0065,CUST-01178,Mortgage,64932.21,11.85,48,1705.14,17585.81,2022-01-24,Late,529,250034.1,0.304
LOAN-0066,CUST-00236,Auto,73313.77,10.09,48,1862.6,47653.95,2021-05-22,Defaulted,612,98960.05,0.558
LOAN-0067,CUST-00468,Personal,65816.96,4.25,24,2865.43,0.0,2022-08-19,Closed,620,31776.18,0.275
LOAN-0068,CUST-01353,Business,20671.12,5.63,60,396.08,5856.82,2021-05-23,Active,617,76159.38,0.379
LOAN-0069,CUST-00748,Mortgage,92994.79,9.44,60,1950.34,43397.57,2022-04-03,Active,564,39859.89,0.225
LOAN-0070,CUST-00138,Student,21690.59,3.59,36,636.44,1807.55,2022-03-07,Active,702,46838.53,0.599
LOAN-0071,CUST-00430,Business,43242.02,7.91,36,1353.25,0.0,2021-08-17,Closed,728,44704.62,0.127
LOAN-0072,CUST-00915,Student,51592.32,6.65,60,1013.09,14617.82,2021-05-04,Active,563,139118.36,0.148
LOAN-0073,CUST-00632,Auto,20365.81,13.14,24,969.57,0.0,2021-07-26,Closed,679,47612.76,0.348
LOAN-0074,CUST-01415,Business,15928.19,5.72,48,372.03,5973.07,2022-06-13,Active,850,38913.74,0.347
LOAN-0075,CUST-00166,Mortgage,21280.51,13.7,360,247.1,19093.35,2021-11-08,Active,672,76794.95,0.28
LOAN-0076,CUST-00890,Mortgage,57450.12,12.11,48,1515.99,17953.16,2022-03-16,Active,549,86661.19,0.064
LOAN-0077,CUST-01031,Personal,34917.14,10.15,360,310.3,22696.14,2021-09-20,Defaulted,473,36359.23,0.52
LOAN-0078,CUST-00987,Business,121204.59,8.65,12,10579.86,0.0,2022-02-22,Closed,703,46769.7,0.481
LOAN-0079,CUST-00173,Business,13908.99,4.37,120,143.28,9156.75,2021-07-21,Active,824,36796.58,0.128
LOAN-0080,CUST-01431,Mortgage,41416.9,5.58,60,792.64,19327.89,2022-04-30,Active,543,34781.16,0.146
LOAN-0081,CUST-01004,Personal,24606.3,14.16,24,1183.28,0.0,2022-09-05,Closed,616,48225.33,0.241
LOAN-0082,CUST-00146,Mortgage,45805.17,13.13,36,1546.23,2544.73,2022-02-02,Active,618,50319.41,0.242
LOAN-0083,CUST-01282,Business,162633.86,14.15,36,5570.3,0.0,2021-05-20,Closed,539,86826.19,0.113
LOAN-0084,CUST-01274,Mortgage,37070.6,4.91,60,698.04,24095.89,2022-03-08,Defaulted,714,66181.64,0.302
LOAN-0085,CUST-00595,Mortgage,136309.91,15.87,12,12359.13,0.0,2022-04-05,Closed,762,21520.34,0.219
LOAN-0086,CUST-00142,Mortgage,64321.1,16.35,48,1834.43,28140.48,2022-09-23,Active,588,165322.0,0.238
LOAN-0087,CUST-00405,Auto,89196.11,13.33,120,1349.21,60207.37,2021-09-16,Active,782,131564.4,0.084
LOAN-0088,CUST-01141,Business,7129.72,9.96,48,180.69,891.22,2021-06-29,Active,845,68265.23,0.159
LOAN-0089,CUST-00152,Business,170060.13,15.76,12,15410.39,0.0,2021-06-19,Closed,720,72901.11,0.313
LOAN-0090,CUST-01001,Personal,21682.24,14.56,60,510.82,5059.19,2021-02-13,Active,739,59832.4,0.272
LOAN-0091,CUST-01061,Student,8236.01,4.6,360,42.22,5353.41,2022-10-21,Defaulted,560,75047.06,0.25
LOAN-0092,CUST-01494,Student,52101.31,16.26,12,4733.61,0.0,2022-10-21,Closed,648,136571.3,0.43
LOAN-0093,CUST-01216,Business,47758.68,5.54,120,519.25,31043.14,2021-06-23,Active,752,216893.79,0.52
LOAN-0094,CUST-00683,Student,48854.05,13.98,36,1669.24,0.0,2021-02-01,Closed,729,108107.69,0.486
LOAN-0095,CUST-01230,Personal,25092.94,8.23,12,2185.46,0.0,2022-04-18,Closed,644,48821.15,0.696
LOAN-0096,CUST-00628,Student,48154.35,14.44,60,1131.48,20866.88,2022-02-04,Active,728,60298.09,0.511
LOAN-0097,CUST-01206,Mortgage,78295.57,17.44,120,1382.67,53501.97,2021-10-10,Active,638,89027.71,0.386
LOAN-0098,CUST-01372,Mortgage,26376.34,4.88,24,1155.75,0.0,2021-06-17,Closed,674,54125.07,0.077
LOAN-0099,CUST-00625,Mortgage,60001.86,17.98,120,1080.37,47001.46,2022-10-13,Active,693,51277.57,0.344
LOAN-0100,CUST-00785,Business,28663.89,14.31,60,671.57,7165.97,2021-03-13,Active,704,60393.32,0.332
LOAN-0101,CUST-00023,Student,23044.57,14.41,36,792.21,0.0,2021-03-06,Closed,670,84229.59,0.354
LOAN-0102,CUST-00357,Personal,16105.92,16.41,12,1464.43,0.0,2021-10-27,Closed,584,23410.81,0.434
LOAN-0103,CUST-00566,Business,18007.42,3.56,120,178.57,11704.82,2022-02-02,Defaulted,552,131382.97,0.207
LOAN-0104,CUST-00438,Mortgage,36890.62,14.36,12,3318.55,0.0,2022-09-02,Closed,627,63743.86,0.283
LOAN-0105,CUST-00695,Student,108143.93,14.63,12,9742.02,0.0,2021-07-25,Closed,660,65313.18,0.402
LOAN-0106,CUST-01328,Business,5388.55,11.0,120,74.23,4041.41,2022-06-18,Active,651,84161.74,0.144
LOAN-0107,CUST-01240,Business,61451.69,5.49,12,5274.53,0.0,2021-07-21,Closed,798,47093.42,0.075
LOAN-0108,CUST-00818,Business,20018.87,3.76,360,92.82,13012.27,2021-11-17,Defaulted,649,31154.97,0.385
LOAN-0109,CUST-01397,Mortgage,15356.0,5.8,60,295.45,5886.47,2021-11-09,Active,710,47696.02,0.365
LOAN-0110,CUST-01047,Auto,19564.27,15.6,12,1771.38,0.0,2022-03-17,Closed,738,82015.96,0.386
LOAN-0111,CUST-00797,Student,11730.56,14.73,360,145.8,10199.07,2021-01-31,Active,792,75327.9,0.23
LOAN-0112,CUST-00085,Personal,37812.2,12.85,60,857.44,17645.69,2022-04-10,Active,693,65732.65,0.248
LOAN-0113,CUST-01227,Mortgage,65905.94,15.48,36,2300.17,0.0,2021-06-23,Closed,671,86097.14,0.34
LOAN-0114,CUST-00775,Student,89973.73,5.73,36,2726.18,0.0,2021-11-09,Closed,560,93831.92,0.284
LOAN-0115,CUST-00426,Student,35951.03,8.41,48,884.61,23368.17,2021-02-04,Defaulted,658,52372.6,0.41
LOAN-0116,CUST-00449,Business,15590.19,16.12,60,380.12,7535.26,2022-05-24,Active,730,77396.27,0.452
LOAN-0117,CUST-00712,Student,56124.04,12.5,60,1262.68,30868.22,2022-09-27,Active,735,80919.55,0.23
LOAN-0118,CUST-01223,Personal,30225.39,9.3,48,756.47,5667.26,2021-09-25,Active,512,76055.25,0.428
LOAN-0119,CUST-00125,Mortgage,105942.24,7.7,36,3305.2,0.0,2021-04-17,Closed,563,51278.07,0.4
LOAN-0120,CUST-00302,Personal,7883.54,11.83,12,699.82,0.0,2021-10-17,Closed,617,54737.98,0.232
LOAN-0121,CUST-00672,Business,47864.0,13.36,48,1292.64,16951.83,2022-05-28,Active,640,45604.83,0.448
LOAN-0122,CUST-00507,Auto,39476.74,10.3,12,3476.14,0.0,2022-02-09,Closed,523,23669.93,0.065
LOAN-0123,CUST-00503,Business,22381.41,10.13,12,1969.03,0.0,2022-11-13,Closed,748,160813.16,0.319
LOAN-0124,CUST-00859,Mortgage,46392.8,5.65,12,3985.4,0.0,2021-12-09,Closed,850,114571.27,0.634
LOAN-0125,CUST-00488,Business,80407.56,5.71,120,881.02,58965.54,2022-04-04,Active,769,66276.51,0.135
LOAN-0126,CUST-01045,Business,36257.47,5.08,48,836.3,9064.37,2021-12-18,Active,609,67974.2,0.3
LOAN-0127,CUST-00474,Mortgage,47711.51,4.15,120,486.46,31012.48,2021-06-26,Late,631,51639.43,0.425
LOAN-0128,CUST-00148,Auto,31671.92,4.62,36,943.84,20586.75,2022-11-09,Defaulted,718,32810.51,0.507
LOAN-0129,CUST-01281,Student,67109.88,15.17,48,1873.51,16777.47,2021-12-05,Active,673,69446.87,0.572
LOAN-0130,CUST-00219,Business,24359.28,10.01,24,1124.17,0.0,2021-10-31,Closed,637,41846.09,0.351
LOAN-0131,CUST-01424,Student,7702.26,15.66,12,697.59,0.0,2021-07-10,Closed,754,40962.92,0.446
LOAN-0132,CUST-00896,Business,84634.73,5.51,36,2556.0,18807.72,2022-08-10,Late,607,22838.26,0.397
LOAN-0133,CUST-01427,Personal,12287.3,10.78,36,400.99,1706.57,2022-05-13,Active,669,37624.23,0.193
LOAN-0134,CUST-00191,Personal,53231.12,4.43,24,2321.76,0.0,2021-02-17,Closed,783,118166.66,0.47
LOAN-0135,CUST-00737,Personal,34187.68,14.06,36,1169.45,0.0,2021-10-17,Closed,623,75941.55,0.408
LOAN-0136,CUST-00383,Business,17055.7,18.45,120,312.28,12365.38,2022-03-11,Active,776,43887.04,0.458
LOAN-0137,CUST-00005,Personal,31550.45,17.86,60,798.77,18404.43,2022-11-18,Late,630,50999.36,0.632
LOAN-0138,CUST-01000,Student,49259.44,15.08,12,4447.93,0.0,2021-06-16,Closed,767,38770.17,0.573
LOAN-0139,CUST-00244,Business,39211.05,18.49,48,1161.89,4901.38,2021-06-25,Late,599,45912.43,0.205
LOAN-0140,CUST-00303,Student,23364.25,7.16,48,561.22,4380.8,2021-09-09,Late,685,67326.66,0.215
LOAN-0141,CUST-01419,Mortgage,21870.4,13.59,48,593.15,2733.8,2021-06-27,Active,701,70437.65,0.341
LOAN-0142,CUST-01396,Business,56212.98,10.93,12,4966.36,0.0,2022-06-16,Closed,732,116686.78,0.151
LOAN-0143,CUST-01478,Auto,79062.63,3.78,36,2326.51,10980.92,2022-05-19,Active,696,27105.51,0.281
LOAN-0144,CUST-00206,Student,500132.59,7.09,48,11997.19,83355.43,2021-08-29,Active,670,115625.79,0.421
LOAN-0145,CUST-01035,Mortgage,108846.62,11.09,36,3568.14,9070.55,2022-03-08,Active,669,59470.51,0.229
LOAN-0146,CUST-00771,Student,30244.28,16.4,36,1069.28,840.12,2022-01-05,Late,559,40612.23,0.705
LOAN-0147,CUST-00625,Personal,84025.53,12.53,24,3976.2,0.0,2021-07-27,Closed,693,51277.57,0.344
LOAN-0148,CUST-00509,Mortgage,26529.69,12.9,60,602.27,11938.36,2022-03-10,Late,659,34090.85,0.252
LOAN-0149,CUST-00181,Personal,34261.16,9.85,12,3009.71,0.0,2021-04-28,Closed,719,116236.75,0.241
LOAN-0150,CUST-00660,Auto,72325.99,16.32,48,2061.61,16574.71,2021-11-12,Active,639,39165.79,0.708
LOAN-0151,CUST-00615,Business,49481.32,5.29,48,1146.03,5154.3,2021-05-28,Active,786,91129.22,0.234
LOAN-0152,CUST-01480,Auto,12692.28,14.19,60,296.58,3384.61,2021-04-12,Active,658,162521.83,0.379
LOAN-0153,CUST-00128,Personal,63218.98,8.73,120,791.62,46887.41,2022-05-05,Active,792,42168.85,0.586
LOAN-0154,CUST-00814,Mortgage,70209.2,13.02,360,777.75,63773.36,2022-03-16,Active,634,83684.13,0.29
LOAN-0155,CUST-01219,Mortgage,13814.51,6.03,360,83.09,12624.93,2022-05-16,Late,683,115734.24,0.301
LOAN-0156,CUST-01421,Business,24641.07,4.57,120,256.21,15606.01,2021-04-04,Active,789,58873.08,0.28
LOAN-0157,CUST-01211,Personal,77527.83,6.31,48,1831.78,22612.28,2022-02-01,Active,658,77076.14,0.248
LOAN-0158,CUST-00886,Mortgage,43109.49,12.16,60,962.44,28021.17,2021-12-26,Defaulted,523,28004.61,0.068
LOAN-0159,CUST-01102,Personal,20993.84,11.1,120,290.38,13646.0,2021-11-10,Defaulted,686,178260.01,0.252
LOAN-0160,CUST-01029,Auto,31696.92,14.42,120,500.18,20603.0,2022-03-24,Defaulted,586,32122.69,0.63
LOAN-0161,CUST-00789,Business,54555.89,16.33,360,748.18,35461.33,2022-10-11,Defaulted,592,45329.74,0.261
LOAN-0162,CUST-00818,Auto,31148.71,4.3,360,154.15,27168.6,2021-02-04,Late,649,31154.97,0.385
LOAN-0163,CUST-00538,Auto,111856.87,7.81,36,3495.39,0.0,2021-08-27,Closed,792,20000.0,0.45
LOAN-0164,CUST-01035,Business,52015.34,7.87,24,2349.43,0.0,2021-12-09,Closed,669,59470.51,0.229
LOAN-0165,CUST-01064,Auto,42834.18,8.79,24,1952.74,0.0,2021-06-20,Closed,689,80019.08,0.201
LOAN-0166,CUST-00073,Mortgage,14951.04,7.42,48,360.94,5295.16,2022-05-05,Active,737,39933.6,0.37
LOAN-0167,CUST-00336,Personal,80033.85,17.79,48,2342.22,18341.09,2021-11-17,Active,775,21448.35,0.165
LOAN-0168,CUST-01337,Personal,34118.62,9.0,360,274.53,31654.5,2022-10-19,Active,660,62078.54,0.252
LOAN-0169,CUST-01432,Mortgage,62288.03,18.33,360,955.52,40487.22,2021-03-20,Defaulted,622,95166.4,0.356
LOAN-0170,CUST-01166,Student,19667.74,10.47,24,911.84,0.0,2022-06-17,Closed,627,50312.83,0.437
LOAN-0171,CUST-00993,Mortgage,90767.81,7.61,36,2828.03,58999.08,2022-01-20,Defaulted,586,20000.0,0.349
LOAN-0172,CUST-00506,Auto,10711.15,14.12,12,962.33,0.0,2021-10-11,Closed,493,62518.47,0.505
LOAN-0173,CUST-01279,Student,60454.66,9.26,24,2769.07,0.0,2021-12-31,Closed,669,67368.71,0.579
LOAN-0174,CUST-01242,Personal,27130.25,9.1,360,220.25,24115.78,2021-08-31,Active,593,85811.27,0.45
LOAN-0175,CUST-00835,Mortgage,34138.37,6.3,36,1043.2,5689.73,2022-06-09,Active,647,76335.68,0.143
LOAN-0176,CUST-00315,Mortgage,8581.04,14.99,60,204.1,3289.4,2021-11-04,Active,656,118103.54,0.22
LOAN-0177,CUST-01482,Personal,31918.45,14.05,120,496.55,22342.92,2021-12-31,Active,714,32520.87,0.104
LOAN-0178,CUST-01455,Mortgage,59379.23,7.96,360,434.05,54266.02,2022-05-16,Active,721,25187.73,0.578
LOAN-0179,CUST-00086,Business,41419.86,9.69,120,540.28,26577.74,2021-05-11,Active,656,82750.12,0.245
LOAN-0180,CUST-00980,Mortgage,16298.27,12.76,12,1453.88,0.0,2022-08-16,Closed,811,64005.87,0.274
LOAN-0181,CUST-01273,Student,21030.78,10.86,12,1857.36,0.0,2021-09-14,Closed,759,93548.16,0.601
LOAN-0182,CUST-01074,Business,65422.03,15.97,120,1094.68,42524.32,2021-10-05,Defaulted,763,83824.69,0.427
LOAN-0183,CUST-00867,Mortgage,10843.55,8.66,360,84.61,7048.31,2022-07-24,Defaulted,615,154382.0,0.258
LOAN-0184,CUST-00272,Auto,58191.42,13.36,60,1334.78,30065.57,2022-07-05,Active,617,67323.06,0.355
LOAN-0185,CUST-00559,Mortgage,45782.93,3.73,36,1346.2,0.0,2021-06-26,Closed,637,70911.43,0.506
LOAN-0186,CUST-00090,Student,78728.61,10.4,60,1688.29,41988.59,2022-08-27,Active,771,118899.02,0.38
LOAN-0187,CUST-00733,Auto,49800.84,5.27,36,1498.62,13833.57,2022-10-12,Late,448,77936.41,0.634
LOAN-0188,CUST-00694,Business,106740.56,11.02,120,1471.56,69381.36,2022-04-23,Defaulted,587,46499.13,0.213
LOAN-0189,CUST-00914,Auto,88820.54,13.64,24,4249.44,0.0,2021-12-21,Closed,794,101189.15,0.649
LOAN-0190,CUST-01142,Business,25548.8,15.41,36,890.8,16606.72,2022-07-22,Defaulted,772,67579.68,0.219
LOAN-0191,CUST-01109,Student,75970.14,4.06,48,1717.37,11078.98,2021-07-03,Active,776,20000.0,0.524
LOAN-0192,CUST-00631,Auto,143504.51,16.09,24,7032.6,0.0,2021-10-10,Closed,710,49583.66,0.252
LOAN-0193,CUST-00213,Personal,34548.21,11.28,60,756.0,13819.28,2021-12-13,Active,804,52158.47,0.468
LOAN-0194,CUST-00210,Personal,23138.95,6.55,12,1997.34,0.0,2021-04-20,Closed,624,77109.72,0.574
LOAN-0195,CUST-01073,Personal,22951.14,13.68,120,351.95,16065.8,2021-12-06,Active,829,78209.29,0.086
LOAN-0196,CUST-00939,Auto,24265.02,7.7,60,488.53,10110.42,2022-01-16,Active,679,64283.17,0.267
LOAN-0197,CUST-00180,Mortgage,124612.7,14.02,60,2900.81,80998.26,2022-09-01,Defaulted,810,35757.83,0.294
LOAN-0198,CUST-00961,Personal,50213.59,5.85,60,967.27,24269.9,2022-05-31,Active,850,52606.73,0.062
LOAN-0199,CUST-00449,Auto,13521.84,18.19,60,344.77,7662.38,2022-10-20,Active,730,77396.27,0.452
LOAN-0200,CUST-00340,Business,27142.02,5.73,120,297.67,17416.13,2021-05-06,Active,717,30067.0,0.496
LOAN-0201,CUST-00381,Mortgage,48911.62,9.83,360,423.1,42797.67,2021-03-24,Active,647,36124.35,0.264
LOAN-0202,CUST-00769,Student,16614.34,6.66,60,326.33,8584.08,2022-07-08,Active,692,64521.81,0.163
LOAN-0203,CUST-00426,Mortgage,27114.98,12.43,48,719.78,1694.69,2021-03-02,Active,658,52372.6,0.41
LOAN-0204,CUST-00543,Student,129508.86,5.06,60,2447.55,38852.66,2021-06-19,Active,798,26537.28,0.411
LOAN-0205,CUST-00059,Personal,93538.16,5.97,12,8049.21,0.0,2021-09-12,Closed,563,54899.08,0.713
LOAN-0206,CUST-00950,Personal,23590.87,13.17,48,634.88,10812.48,2022-10-19,Late,690,30789.86,0.315
LOAN-0207,CUST-01450,Auto,28059.34,16.05,120,470.91,20109.19,2022-02-04,Active,850,47252.69,0.091
LOAN-0208,CUST-01476,Auto,144720.45,10.08,36,4675.16,0.0,2021-07-25,Closed,735,73170.27,0.229
LOAN-0209,CUST-00070,Business,26980.61,17.94,36,974.6,7494.61,2022-10-02,Active,752,78293.53,0.383
LOAN-0210,CUST-00786,Auto,13280.89,14.48,12,1195.45,0.0,2021-12-03,Closed,704,48878.03,0.102
LOAN-0211,CUST-00845,Mortgage,8251.54,12.07,48,217.58,3438.14,2022-08-12,Active,850,95053.6,0.128
LOAN-0212,CUST-01287,Student,21309.11,5.99,120,236.47,14383.65,2021-09-02,Active,689,56666.26,0.631
LOAN-0213,CUST-00005,Auto,45980.64,17.43,12,4203.04,0.0,2021-02-09,Closed,630,50999.36,0.632
LOAN-0214,CUST-01035,Business,36610.77,7.86,24,1653.47,0.0,2021-01-31,Closed,669,59470.51,0.229
LOAN-0215,CUST-00647,Mortgage,42403.16,7.91,24,1916.04,0.0,2022-01-02,Closed,630,69162.78,0.414
LOAN-0216,CUST-00110,Personal,11427.5,10.13,12,1005.35,0.0,2022-11-06,Closed,628,86659.46,0.255
LOAN-0217,CUST-00699,Business,9540.09,17.85,24,475.59,0.0,2022-08-14,Closed,644,56488.91,0.482
LOAN-0218,CUST-00005,Personal,23756.31,17.16,48,687.46,2474.62,2021-05-15,Active,630,50999.36,0.632
LOAN-0219,CUST-01124,Business,51353.77,3.73,120,513.37,38943.28,2022-07-24,Active,668,56363.37,0.116
LOAN-0220,CUST-01024,Business,23153.32,9.64,12,2031.67,0.0,2022-11-12,Closed,470,20581.29,0.319
LOAN-0221,CUST-00838,Business,42213.58,10.78,360,395.01,38695.78,2022-06-30,Active,633,122457.32,0.44
LOAN-0222,CUST-00028,Business,15464.42,6.14,12,1331.96,0.0,2022-09-14,Closed,754,32153.11,0.409
LOAN-0223,CUST-00212,Student,10344.35,13.79,48,281.59,4310.15,2022-08-01,Active,749,114936.75,0.554
LOAN-0224,CUST-01109,Mortgage,53967.06,10.03,120,714.08,34628.86,2021-05-11,Active,776,20000.0,0.524
LOAN-0225,CUST-00562,Mortgage,17484.25,16.08,120,293.76,13258.89,2022-07-05,Late,737,42526.42,0.288
LOAN-0226,CUST-00096,Mortgage,9266.91,6.72,36,284.95,2316.73,2022-09-16,Active,676,63262.78,0.424
LOAN-0227,CUST-00772,Auto,36784.85,4.16,360,179.03,34230.35,2022-11-26,Active,691,39270.34,0.41
