transaction_id,customer_id,transaction_date,transaction_type,amount,product_category,region
TXN-013019,CUST-00381,2023-01-02,Deposit,26.03,Business Loan,North
TXN-042588,CUST-01230,2023-01-02,Deposit,42.78,Auto Loan,Central
TXN-017567,CUST-00505,2023-01-02,Payment,3.39,Mortgage,West
TXN-045155,CUST-01302,2023-01-02,Withdrawal,85.09,Personal Loan,Central
TXN-049505,CUST-01426,2023-01-02,Payment,41.84,Mortgage,East
TXN-003780,CUST-00116,2023-01-02,Withdrawal,12.75,Business Loan,Central
TXN-006672,CUST-00204,2023-01-02,Withdrawal,11.99,Savings Account,South
TXN-052014,CUST-01500,2023-01-02,Payment,889.57,Business Loan,Central
TXN-031981,CUST-00921,2023-01-02,Withdrawal,3.5,Business Loan,South
TXN-018516,CUST-00533,2023-01-02,Withdrawal,23.51,Insurance,East
TXN-019207,CUST-00550,2023-01-02,Withdrawal,10.33,Business Loan,South
TXN-026047,CUST-00750,2023-01-02,Deposit,73.13,Personal Loan,Central
TXN-007740,CUST-00233,2023-01-02,Deposit,17.74,Personal Loan,North
TXN-048222,CUST-01389,2023-01-02,Withdrawal,126.55,Insurance,Central
TXN-041487,CUST-01195,2023-01-02,Withdrawal,4.96,Credit Card,South
TXN-026973,CUST-00775,2023-01-02,Payment,18.34,Auto Loan,North
TXN-012050,CUST-00355,2023-01-02,Fee,10.08,Investment Fund,West
TXN-050727,CUST-01460,2023-01-02,Transfer,27.52,Insurance,West
TXN-029119,CUST-00836,2023-01-02,Fee,14.36,Personal Loan,Central
TXN-019825,CUST-00567,2023-01-02,Deposit,5.59,Personal Loan,North
TXN-049981,CUST-01439,2023-01-02,Deposit,164.75,Savings Account,Central
TXN-024989,CUST-00718,2023-01-02,Payment,209.26,Personal Loan,Central
TXN-035657,CUST-01026,2023-01-02,Payment,184.09,Personal Loan,East
TXN-050135,CUST-01444,2023-01-02,Interest,19.99,Personal Loan,South
TXN-007177,CUST-00217,2023-01-02,Deposit,105.71,Business Loan,South
TXN-039339,CUST-01135,2023-01-02,Withdrawal,48.4,Savings Account,Central
TXN-008172,CUST-00245,2023-01-02,Withdrawal,0.89,Mortgage,South
TXN-013026,CUST-00381,2023-01-02,Withdrawal,12.2,Savings Account,North
TXN-040763,CUST-01175,2023-01-02,Deposit,232.15,Investment Fund,North
TXN-040886,CUST-01178,2023-01-02,Deposit,2397.91,Mortgage,West
TXN-019873,CUST-00568,2023-01-02,Payment,8.25,Mortgage,South
TXN-045521,CUST-01311,2023-01-02,Deposit,22.83,Business Loan,West
TXN-029281,CUST-00841,2023-01-02,Withdrawal,126.48,Personal Loan,South
TXN-013118,CUST-00384,2023-01-02,Transfer,208.72,Savings Account,East
TXN-017549,CUST-00503,2023-01-02,Payment,347.2,Auto Loan,North
TXN-003594,CUST-00109,2023-01-02,Deposit,4.15,Investment Fund,North
TXN-033925,CUST-00977,2023-01-02,Deposit,22.59,Personal Loan,East
TXN-039628,CUST-01144,2023-01-03,Transfer,44.68,Savings Account,Central
TXN-006664,CUST-00204,2023-01-03,Fee,7.39,Savings Account,South
TXN-030465,CUST-00875,2023-01-03,Deposit,90.39,Personal Loan,East
TXN-012537,CUST-00368,2023-01-03,Transfer,55.23,Personal Loan,South
TXN-024418,CUST-00703,2023-01-03,Payment,30.59,Personal Loan,East
TXN-050660,CUST-01458,2023-01-03,Payment,3.58,Business Loan,South
TXN-003162,CUST-00097,2023-01-03,Payment,8.17,Business Loan,East
TXN-031549,CUST-00907,2023-01-03,Deposit,10.49,Personal Loan,South
TXN-027664,CUST-00795,2023-01-03,Transfer,98.71,Auto Loan,West
TXN-050218,CUST-01446,2023-01-03,Deposit,8.25,Business Loan,West
TXN-027373,CUST-00786,2023-01-03,Payment,18.55,Auto Loan,East
TXN-003485,CUST-00106,2023-01-03,Deposit,9.04,Investment Fund,North
TXN-045009,CUST-01297,2023-01-03,Withdrawal,50.55,Credit Card,West
TXN-045458,CUST-01310,2023-01-03,Payment,255.79,Insurance,South
TXN-013620,CUST-00398,2023-01-03,Withdrawal,46.94,Auto Loan,East
TXN-047572,CUST-01369,2023-01-03,Payment,7.61,Savings Account,North
TXN-002644,CUST-00081,2023-01-03,Deposit,68.51,Mortgage,South
TXN-051407,CUST-01481,2023-01-03,Deposit,42.42,Mortgage,North
TXN-039231,CUST-01132,2023-01-03,Deposit,12.18,Credit Card,East
TXN-022491,CUST-00648,2023-01-03,Deposit,1197.01,Personal Loan,North
TXN-024811,CUST-00713,2023-01-03,Withdrawal,35.02,Savings Account,Central
TXN-037047,CUST-01064,2023-01-03,Payment,139.78,Insurance,East
TXN-035526,CUST-01023,2023-01-03,Deposit,2.15,Personal Loan,East
TXN-033096,CUST-00955,2023-01-03,Deposit,11.69,Personal Loan,Central
TXN-008602,CUST-00256,2023-01-03,Transfer,14.11,Auto Loan,Central
TXN-005325,CUST-00163,2023-01-03,Payment,18.47,Mortgage,North
TXN-024545,CUST-00705,2023-01-03,Deposit,392.5,Personal Loan,North
TXN-034873,CUST-01003,2023-01-03,Deposit,31.77,Insurance,North
TXN-010082,CUST-00298,2023-01-03,Deposit,183.46,Investment Fund,North
TXN-015641,CUST-00453,2023-01-03,Interest,6.46,Personal Loan,North
TXN-004748,CUST-00146,2023-01-03,Withdrawal,24.4,Auto Loan,Central
TXN-024236,CUST-00696,2023-01-03,Transfer,116.32,Insurance,Central
TXN-036021,CUST-01034,2023-01-03,Transfer,7.42,Investment Fund,North
TXN-024595,CUST-00707,2023-01-03,Withdrawal,29.01,Investment Fund,Central
TXN-015547,CUST-00451,2023-01-03,Interest,60.65,Business Loan,Central
TXN-048505,CUST-01397,2023-01-03,Payment,40.65,Investment Fund,East
TXN-033296,CUST-00960,2023-01-03,Payment,3.96,Auto Loan,North
TXN-023356,CUST-00671,2023-01-03,Withdrawal,81.78,Insurance,South
TXN-034357,CUST-00989,2023-01-03,Deposit,38.05,Personal Loan,East
TXN-045143,CUST-01301,2023-01-03,Interest,76.47,Auto Loan,Central
TXN-036238,CUST-01040,2023-01-03,Deposit,37.58,Auto Loan,East
TXN-050421,CUST-01452,2023-01-03,Withdrawal,47.0,Mortgage,East
TXN-042785,CUST-01234,2023-01-03,Deposit,4.54,Personal Loan,North
TXN-012682,CUST-00372,2023-01-03,Interest,34.67,Mortgage,East
TXN-000608,CUST-00017,2023-01-03,Payment,14.06,Personal Loan,North
TXN-004782,CUST-00147,2023-01-03,Deposit,60.99,Credit Card,Central
TXN-042322,CUST-01222,2023-01-03,Withdrawal,81.97,Credit Card,South
TXN-002858,CUST-00088,2023-01-03,Withdrawal,5.4,Auto Loan,Central
TXN-007789,CUST-00235,2023-01-03,Transfer,53.92,Savings Account,West
TXN-041574,CUST-01198,2023-01-03,Payment,117.1,Credit Card,Central
TXN-046643,CUST-01343,2023-01-03,Payment,8.59,Mortgage,South
TXN-025232,CUST-00726,2023-01-03,Withdrawal,6.89,Auto Loan,Central
TXN-037233,CUST-01069,2023-01-03,Withdrawal,6.48,Investment Fund,North
TXN-037866,CUST-01091,2023-01-03,Payment,2.38,Personal Loan,Central
TXN-009105,CUST-00270,2023-01-03,Deposit,15.4,Savings Account,South
TXN-001137,CUST-00034,2023-01-03,Transfer,5.68,Mortgage,East
TXN-011172,CUST-00330,2023-01-03,Payment,11.78,Insurance,South
TXN-048891,CUST-01407,2023-01-03,Transfer,19.22,Mortgage,South
TXN-003824,CUST-00118,2023-01-03,Interest,27.62,Personal Loan,West
TXN-049366,CUST-01420,2023-01-03,Withdrawal,21.19,Mortgage,West
TXN-021539,CUST-00620,2023-01-03,Fee,201.83,Auto Loan,South
TXN-010329,CUST-00305,2023-01-03,Payment,44.77,Credit Card,Central
TXN-036603,CUST-01053,2023-01-03,Payment,133.14,Business Loan,North
TXN-022521,CUST-00648,2023-01-03,Fee,16.2,Savings Account,North
TXN-012134,CUST-00357,2023-01-03,Transfer,6.28,Insurance,West
TXN-025995,CUST-00749,2023-01-03,Deposit,143.29,Savings Account,East
TXN-033060,CUST-00953,2023-01-03,Deposit,22.98,Savings Account,North
TXN-042464,CUST-01227,2023-01-03,Deposit,119.17,Savings Account,Central
TXN-009167,CUST-00272,2023-01-03,Withdrawal,10.79,Personal Loan,Central
TXN-037797,CUST-01089,2023-01-03,Withdrawal,7.31,Insurance,North
TXN-050852,CUST-01463,2023-01-03,Interest,60.32,Credit Card,Central
TXN-025357,CUST-00729,2023-01-04,Transfer,5.18,Credit Card,Central
TXN-036329,CUST-01044,2023-01-04,Deposit,104.06,Savings Account,Central
TXN-006906,CUST-00210,2023-01-04,Withdrawal,157.16,Insurance,West
TXN-034510,CUST-00993,2023-01-04,Fee,37.45,Insurance,West
TXN-037373,CUST-01074,2023-01-04,Withdrawal,21.23,Personal Loan,Central
TXN-046362,CUST-01334,2023-01-04,Withdrawal,25.37,Auto Loan,East
TXN-033301,CUST-00960,2023-01-04,Payment,12.69,Personal Loan,North
TXN-005513,CUST-00169,2023-01-04,Fee,64.54,Credit Card,Central
TXN-003947,CUST-00121,2023-01-04,Payment,27.69,Investment Fund,North
TXN-035195,CUST-01013,2023-01-04,Transfer,9.59,Personal Loan,South
TXN-002968,CUST-00092,2023-01-04,Interest,81.29,Personal Loan,North
TXN-038877,CUST-01120,2023-01-04,Payment,49.51,Personal Loan,West
TXN-000435,CUST-00013,2023-01-04,Deposit,81.18,Savings Account,Central
TXN-016850,CUST-00486,2023-01-04,Payment,48.45,Auto Loan,South
TXN-039169,CUST-01130,2023-01-04,Deposit,3.26,Personal Loan,North
TXN-004379,CUST-00137,2023-01-04,Deposit,103.45,Personal Loan,South
TXN-004907,CUST-00150,2023-01-04,Fee,71.75,Business Loan,West
TXN-006211,CUST-00187,2023-01-04,Deposit,10.87,Insurance,South
TXN-001362,CUST-00040,2023-01-04,Deposit,2.81,Business Loan,Central
TXN-042420,CUST-01225,2023-01-04,Withdrawal,10.33,Auto Loan,North
TXN-018318,CUST-00526,2023-01-04,Payment,24.72,Savings Account,West
TXN-015445,CUST-00449,2023-01-04,Payment,26.36,Auto Loan,Central
TXN-040751,CUST-01174,2023-01-04,Payment,40.73,Savings Account,West
TXN-025827,CUST-00745,2023-01-04,Transfer,34.17,Auto Loan,South
TXN-023017,CUST-00663,2023-01-04,Transfer,49.86,Personal Loan,East
TXN-036005,CUST-01034,2023-01-04,Payment,30.86,Credit Card,North
TXN-050331,CUST-01449,2023-01-04,Deposit,19.41,Savings Account,Central
TXN-026777,CUST-00770,2023-01-04,Withdrawal,6.87,Auto Loan,East
TXN-048164,CUST-01387,2023-01-04,Transfer,15.39,Business Loan,South
TXN-003555,CUST-00108,2023-01-04,Withdrawal,5.02,Credit Card,West
TXN-047824,CUST-01377,2023-01-04,Transfer,44.48,Auto Loan,East
TXN-004034,CUST-00125,2023-01-04,Deposit,33.19,Mortgage,West
TXN-051739,CUST-01492,2023-01-04,Withdrawal,6.71,Credit Card,North
TXN-050290,CUST-01448,2023-01-04,Interest,73.08,Personal Loan,South
TXN-024073,CUST-00693,2023-01-04,Payment,144.53,Insurance,West
TXN-010267,CUST-00304,2023-01-04,Payment,32.17,Credit Card,North
TXN-021112,CUST-00606,2023-01-04,Deposit,16.21,Insurance,West
TXN-034048,CUST-00981,2023-01-04,Transfer,170.02,Insurance,West
TXN-016640,CUST-00481,2023-01-04,Fee,126.05,Credit Card,South
TXN-044079,CUST-01271,2023-01-04,Fee,189.16,Business Loan,West
TXN-018747,CUST-00538,2023-01-04,Deposit,14.4,Auto Loan,East
TXN-019537,CUST-00559,2023-01-04,Interest,46.79,Investment Fund,Central
TXN-029454,CUST-00846,2023-01-04,Transfer,11.12,Investment Fund,Central
TXN-026870,CUST-00772,2023-01-04,Fee,8.86,Mortgage,West
TXN-024110,CUST-00694,2023-01-04,Transfer,38.63,Savings Account,South
TXN-048705,CUST-01402,2023-01-04,Transfer,81.67,Investment Fund,Central
TXN-048713,CUST-01402,2023-01-04,Transfer,178.49,Savings Account,Central
TXN-006330,CUST-00192,2023-01-04,Payment,45.36,Auto Loan,South
TXN-045145,CUST-01302,2023-01-04,Withdrawal,29.93,Credit Card,Central
TXN-043095,CUST-01244,2023-01-04,Transfer,56.36,Business Loan,West
TXN-007193,CUST-00218,2023-01-04,Deposit,29.55,Investment Fund,East
TXN-041759,CUST-01203,2023-01-04,Payment,92.67,Insurance,North
TXN-034776,CUST-01000,2023-01-04,Withdrawal,12.51,Credit Card,Central
TXN-020234,CUST-00580,2023-01-04,Transfer,41.79,Mortgage,North
TXN-006525,CUST-00199,2023-01-04,Interest,34.75,Auto Loan,North
TXN-019615,CUST-00561,2023-01-04,Deposit,197.52,Business Loan,West
TXN-005994,CUST-00182,2023-01-04,Withdrawal,8.98,Auto Loan,East
TXN-034193,CUST-00985,2023-01-04,Interest,132.9,Mortgage,Central
TXN-004578,CUST-00142,2023-01-04,Withdrawal,84.79,Investment Fund,Central
TXN-030612,CUST-00880,2023-01-04,Deposit,12.13,Personal Loan,North
TXN-035053,CUST-01008,2023-01-04,Deposit,11.17,Investment Fund,South
TXN-030912,CUST-00888,2023-01-04,Deposit,5.37,Credit Card,South
TXN-037280,CUST-01071,2023-01-04,Transfer,3.76,Savings Account,South
TXN-021344,CUST-00614,2023-01-04,Payment,137.21,Savings Account,North
TXN-027252,CUST-00784,2023-01-04,Payment,18.21,Personal Loan,North
TXN-005731,CUST-00174,2023-01-04,Withdrawal,35.18,Auto Loan,North
TXN-038542,CUST-01111,2023-01-04,Deposit,89.52,Credit Card,Central
TXN-002914,CUST-00090,2023-01-04,Payment,83.34,Insurance,West
TXN-014392,CUST-00418,2023-01-04,Payment,97.32,Auto Loan,West
TXN-004238,CUST-00131,2023-01-04,Payment,16.36,Personal Loan,Central
TXN-005933,CUST-00180,2023-01-04,Deposit,3.58,Mortgage,West
TXN-023835,CUST-00686,2023-01-04,Withdrawal,11.23,Insurance,West
TXN-038025,CUST-01095,2023-01-04,Transfer,83.33,Personal Loan,East
TXN-023474,CUST-00676,2023-01-04,Fee,154.51,Business Loan,Central
TXN-044673,CUST-01288,2023-01-04,Withdrawal,65.01,Personal Loan,East
TXN-002284,CUST-00072,2023-01-04,Transfer,13.08,Auto Loan,East
TXN-017857,CUST-00512,2023-01-04,Deposit,39.93,Credit Card,South
TXN-009532,CUST-00282,2023-01-04,Withdrawal,67.32,Personal Loan,Central
TXN-033089,CUST-00954,2023-01-04,Transfer,36.81,Personal Loan,East
TXN-017989,CUST-00517,2023-01-04,Payment,32.19,Business Loan,Central
TXN-020418,CUST-00586,2023-01-04,Transfer,21.19,Insurance,North
TXN-050094,CUST-01443,2023-01-04,Payment,1.61,Savings Account,Central
TXN-006865,CUST-00209,2023-01-05,Withdrawal,75.16,Business Loan,Central
TXN-007899,CUST-00238,2023-01-05,Transfer,1.43,Personal Loan,Central
TXN-029271,CUST-00841,2023-01-05,Deposit,12.95,Business Loan,South
TXN-035751,CUST-01028,2023-01-05,Transfer,113.84,Personal Loan,South
TXN-007092,CUST-00215,2023-01-05,Deposit,363.98,Savings Account,West
TXN-014803,CUST-00430,2023-01-05,Payment,35.74,Credit Card,North
TXN-012053,CUST-00355,2023-01-05,Withdrawal,12.92,Investment Fund,West
TXN-011997,CUST-00353,2023-01-05,Payment,55.65,Investment Fund,East
TXN-027669,CUST-00796,2023-01-05,Interest,29.74,Investment Fund,North
TXN-026084,CUST-00751,2023-01-05,Transfer,7.85,Credit Card,South
TXN-018089,CUST-00519,2023-01-05,Deposit,171.5,Insurance,East
TXN-013070,CUST-00383,2023-01-05,Payment,6.75,Auto Loan,South
TXN-029711,CUST-00854,2023-01-05,Withdrawal,45.81,Investment Fund,North
TXN-020801,CUST-00597,2023-01-05,Payment,39.42,Business Loan,Central
TXN-020761,CUST-00595,2023-01-05,Withdrawal,103.87,Insurance,West
TXN-028637,CUST-00823,2023-01-05,Withdrawal,33.23,Auto Loan,West
TXN-020842,CUST-00598,2023-01-05,Payment,77.84,Savings Account,South
TXN-019055,CUST-00546,2023-01-05,Interest,17.57,Investment Fund,West
TXN-033869,CUST-00976,2023-01-05,Deposit,6.17,Investment Fund,East
TXN-048594,CUST-01400,2023-01-05,Payment,22.73,Personal Loan,South
TXN-030310,CUST-00871,2023-01-05,Interest,8.09,Investment Fund,North
TXN-017039,CUST-00491,2023-01-05,Payment,113.9,Credit Card,South
TXN-011877,CUST-00350,2023-01-05,Interest,17.59,Business Loan,Central
TXN-045236,CUST-01304,2023-01-05,Interest,2.28,Savings Account,West
TXN-037949,CUST-01093,2023-01-05,Payment,15.34,Mortgage,South
TXN-005387,CUST-00165,2023-01-05,Deposit,15.0,Auto Loan,East
TXN-004325,CUST-00134,2023-01-05,Payment,12.21,Personal Loan,West
TXN-020551,CUST-00590,2023-01-05,Deposit,241.46,Business Loan,West
TXN-010192,CUST-00301,2023-01-05,Withdrawal,214.67,Credit Card,North
TXN-021645,CUST-00622,2023-01-05,Deposit,43.75,Auto Loan,East
TXN-018997,CUST-00544,2023-01-05,Deposit,176.78,Business Loan,West
TXN-013639,CUST-00399,2023-01-05,Payment,34.4,Savings Account,Central
TXN-028412,CUST-00815,2023-01-05,Withdrawal,36.0,Business Loan,Central
TXN-044617,CUST-01286,2023-01-05,Transfer,612.47,Investment Fund,East
TXN-032242,CUST-00929,2023-01-05,Deposit,35.09,Business Loan,North
TXN-009035,CUST-00269,2023-01-05,Deposit,42.95,Auto Loan,West
TXN-036593,CUST-01053,2023-01-05,Payment,24.61,Insurance,North
TXN-036407,CUST-01046,2023-01-05,Deposit,12.53,Insurance,West
TXN-013414,CUST-00394,2023-01-05,Payment,16.04,Mortgage,East
TXN-025512,CUST-00734,2023-01-05,Transfer,47.31,Auto Loan,West
TXN-014287,CUST-00415,2023-01-05,Deposit,42.16,Auto Loan,South
TXN-050505,CUST-01454,2023-01-05,Transfer,10.34,Credit Card,North
TXN-041393,CUST-01192,2023-01-05,Deposit,7.99,Mortgage,Central
TXN-008238,CUST-00247,2023-01-05,Payment,236.28,Investment Fund,West
TXN-043604,CUST-01259,2023-01-05,Transfer,25.21,Credit Card,North
TXN-026810,CUST-00770,2023-01-05,Withdrawal,21.08,Business Loan,East
TXN-015537,CUST-00451,2023-01-05,Withdrawal,9.64,Mortgage,Central
TXN-036053,CUST-01035,2023-01-05,Transfer,15.58,Auto Loan,West
TXN-023877,CUST-00687,2023-01-05,Withdrawal,52.6,Personal Loan,East
TXN-049455,CUST-01424,2023-01-05,Deposit,18.68,Business Loan,North
TXN-046323,CUST-01333,2023-01-05,Withdrawal,18.68,Savings Account,East
TXN-020222,CUST-00580,2023-01-05,Payment,62.9,Mortgage,North
TXN-034993,CUST-01006,2023-01-05,Payment,36.73,Savings Account,South
TXN-003505,CUST-00106,2023-01-05,Withdrawal,13.2,Personal Loan,North
TXN-004716,CUST-00145,2023-01-05,Payment,19.72,Investment Fund,South
TXN-015683,CUST-00454,2023-01-05,Transfer,50.94,Credit Card,East
TXN-043660,CUST-01260,2023-01-05,Transfer,3.55,Insurance,Central
TXN-043055,CUST-01242,2023-01-05,Fee,59.55,Savings Account,South
TXN-045945,CUST-01324,2023-01-05,Payment,37.03,Credit Card,East
TXN-012840,CUST-00376,2023-01-05,Payment,105.31,Savings Account,East
TXN-045946,CUST-01324,2023-01-05,Fee,37.16,Auto Loan,East
TXN-040435,CUST-01166,2023-01-05,Deposit,15.15,Mortgage,South
TXN-025280,CUST-00727,2023-01-05,Withdrawal,25.75,Mortgage,Central
TXN-033175,CUST-00957,2023-01-05,Deposit,66.99,Credit Card,South
TXN-011188,CUST-00330,2023-01-05,Withdrawal,34.04,Mortgage,South
TXN-025323,CUST-00728,2023-01-05,Interest,380.11,Auto Loan,Central
TXN-029787,CUST-00855,2023-01-05,Payment,34.79,Business Loan,North
TXN-021883,CUST-00628,2023-01-05,Interest,206.16,Auto Loan,East
TXN-040863,CUST-01178,2023-01-05,Withdrawal,233.11,Mortgage,West
TXN-039984,CUST-01154,2023-01-05,Deposit,41.06,Business Loan,East
TXN-020959,CUST-00602,2023-01-05,Withdrawal,33.88,Savings Account,South
TXN-007608,CUST-00229,2023-01-05,Withdrawal,20.8,Auto Loan,West
TXN-005591,CUST-00171,2023-01-05,Fee,8.04,Savings Account,East
TXN-048840,CUST-01406,2023-01-05,Interest,26.18,Mortgage,Central
